session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL002_TimeOut_TrNum7,16,2024-04-16,KL002B-KL002Y,Training Partner,transparent,168.58,171.57,172.27,174.11,,True,1.0,1,412,True,0.0,0.0,5.582524271844661,0.0,0.0012135922330097086,0.15898058252427186,0.04733009708737864,0.0,0.0,0.0,False,,1091.6814683613027,253.9417692175032,360.2358541087692
041624_KL002_TimeOut_TrNum7,17,2024-04-16,KL002B-KL002Y,Training Partner,transparent,182.3,182.95,183.67,,,False,2.0,1,286,True,0.0,0.0,0.0,0.0,0.0,0.21853146853146854,0.0472027972027972,0.0,0.0,6.0,True,0.6499999999999773,846.1492901891152,285.9946292437466,404.28657919893135
041624_KL002_TimeOut_TrNum7,18,2024-04-16,KL002B-KL002Y,Training Partner,transparent,191.83,192.37,193.75,,,False,0.0,0,269,True,0.0,0.0,0.0,0.0,0.0,0.3754646840148699,0.0687732342007435,0.4999910400539825,53.0,15.0,True,0.539999999999992,145.13669072744105,711.4021095561161,770.0680305455364
041624_KL002_TimeOut_TrNum7,19,2024-04-16,KL002B-KL002Y,Training Partner,transparent,200.82,201.26,201.26,,,False,0.0,0,231,True,0.0,0.0,20.346320346320347,0.0,0.023809523809523808,0.2012987012987013,0.05411255411255411,0.0,0.0,103.0,True,0.4399999999999977,1049.0374317557225,539.4513535534231,545.9366152364596
041624_KL002_TimeOut_TrNum7,20,2024-04-16,KL002B-KL002Y,Training Partner,transparent,208.51,209.01,209.01,,,False,0.0,0,268,True,0.5597014925373134,0.0,6.343283582089552,0.0,0.005597014925373134,0.3041044776119403,0.020522388059701493,0.0,0.0,46.0,True,0.5,969.8132600859651,429.4645592542301,488.1294186798392
041624_KL002_TimeOut_TrNum7,21,2024-04-16,KL002B-KL002Y,Training Partner,transparent,217.46,218.15,218.44,220.74,,True,1.0,1,309,True,0.0,0.0,0.0,0.0,0.0,0.32362459546925565,0.03398058252427184,0.4333255680467848,13.0,66.0,True,0.6899999999999977,137.5500478108924,320.07513220681335,425.50686924484114
041624_KL002_TimeOut_TrNum7,22,2024-04-16,KL002B-KL002Y,Training Partner,transparent,227.75,228.2,228.65,,,False,2.0,1,345,True,0.0,0.0,1.7391304347826086,0.0,0.0,0.3159420289855073,0.06956521739130435,0.0,0.0,108.0,True,0.44999999999998863,519.7948342136416,273.0161665041606,380.9765512003874
041624_KL002_TimeOut_TrNum7,23,2024-04-16,KL002B-KL002Y,Training Partner,transparent,239.23,239.92,240.24,242.06,,True,3.0,1,306,True,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.06045751633986928,2.133295104230325,64.0,113.0,True,0.6899999999999977,142.89790413041723,131.96173317815888,307.78303408389417
041624_KL002_TimeOut_TrNum7,24,2024-04-16,KL002B-KL002Y,Training Partner,transparent,249.43,249.93,251.27,,,False,0.0,0,328,True,0.0,0.0,0.0,0.0,0.0,0.3521341463414634,0.09146341463414634,3.399939072367081,131.0,102.0,True,0.5,141.0245047023741,245.67308819615477,390.64538220932275
041624_KL002_TimeOut_TrNum7,25,2024-04-16,KL002B-KL002Y,Training Partner,transparent,260.38,261.8,262.37,264.21,,True,1.0,1,396,True,0.0,0.0,0.0,0.0025252525252525255,0.0,0.5467171717171717,0.022727272727272728,1.99996416021593,60.0,132.0,True,1.420000000000016,143.14899729560747,166.02593611974436,332.04976946989234
041624_KL002_TimeOut_TrNum7,26,2024-04-16,KL002B-KL002Y,Training Partner,transparent,273.59,273.7,274.67,,,False,0.0,0,191,True,0.0,0.0,0.0,0.0,0.002617801047120419,0.3298429319371728,0.002617801047120419,5.5665669126010044,167.0,214.0,True,0.11000000000001364,134.82255016892842,568.9792563978986,653.2685855002104
041624_KL002_TimeOut_TrNum7,27,2024-04-16,KL002B-KL002Y,Training Partner,transparent,279.95,280.89,281.34,,,False,1.0,1,392,True,0.0,0.0,0.0,0.0,0.0,0.46938775510204084,0.02295918367346939,0.0,358.0,0.0,True,0.9399999999999977,579.5051881008427,98.44717646356494,281.54530647047295
041624_KL002_TimeOut_TrNum7,28,2024-04-16,KL002B-KL002Y,Training Partner,transparent,293.0,293.15,293.93,,,False,2.0,1,301,True,0.0,0.0,0.0,0.0016611295681063123,0.0,0.47674418604651164,0.029900332225913623,6.033225216651388,181.0,215.0,True,0.14999999999997726,148.0143846297089,145.23515716604172,314.94513765226435
041624_KL002_TimeOut_TrNum7,29,2024-04-16,KL002B-KL002Y,Training Partner,transparent,303.04,303.27,304.1,305.91,,True,3.0,1,308,True,0.0,0.0,0.0,0.0,0.0,0.23376623376623376,0.08603896103896104,3.8999301124210635,137.0,117.0,True,0.22999999999996135,150.34532895678527,314.8533991224387,427.4571015429307
041624_KL002_TimeOut_TrNum7,30,2024-04-16,KL002B-KL002Y,Training Partner,transparent,313.3,313.44,314.65,,,False,0.0,0,308,True,0.0,0.0,0.0,0.0,0.0,0.2288961038961039,0.07305194805194805,0.0,0.0,104.0,True,0.13999999999998636,775.3004711131134,267.5072170989674,402.09045896759574
041624_KL002_TimeOut_TrNum7,31,2024-04-16,KL002B-KL002Y,Training Partner,transparent,323.59,324.07,324.42,326.4,,True,1.0,1,264,True,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.4943181818181818,0.058712121212121215,0.6999874560755754,21.0,88.0,True,0.4800000000000182,141.00241041781462,118.54609999289093,285.66319920475905
